sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,73.52,67.85,88.69
2,70.64,66.29,86.71
3,68.89,65.59,86.88
4,68.33,65.31,85.67
5,67.98,65.04,85.14
6,67.33,64.78,84.15
7,66.81,65.64,84.12
8,67.38,63.40,83.45
9,66.20,63.01,82.88
10,68.24,65.57,83.14
11,68.50,67.55,83.61
12,68.63,68.06,83.49
13,68.70,68.44,83.61
14,69.43,67.17,82.20
15,69.23,66.09,82.14
16,67.83,63.55,81.06
17,68.04,64.29,81.14
18,67.07,62.60,80.57
19,66.78,62.40,80.65
20,67.12,66.39,82.69
21,67.11,63.66,81.17
22,74.04,65.20,82.23
23,67.27,62.71,81.00
24,74.52,65.24,82.45
25,74.90,65.40,82.67
26,74.13,65.25,82.62
27,66.63,63.77,81.71
28,66.06,63.12,81.44
29,66.46,63.61,80.84
30,65.79,63.85,81.10
31,66.80,65.81,81.86
32,67.47,67.41,81.99
33,68.61,68.21,81.11
34,68.78,68.41,81.72
35,68.66,69.25,83.68
36,72.95,77.98,84.80
37,71.67,76.79,81.87
38,60.27,61.43,80.62
39,60.90,62.74,76.23
40,58.34,60.65,75.54
41,60.54,61.18,73.52
42,58.83,58.36,73.82
43,58.75,58.44,73.40
44,58.33,59.29,73.85
45,62.13,60.80,74.46
46,62.95,61.40,73.51
47,62.09,60.70,72.36
48,58.76,57.66,70.07
49,59.12,59.62,71.27
50,57.49,57.63,71.51
51,58.07,58.38,73.00
52,58.09,59.58,74.91
53,58.99,60.40,75.68
54,59.07,60.24,77.44
55,60.02,61.03,77.83
56,59.25,61.53,79.25
57,59.69,62.50,79.83
58,60.37,62.02,80.88
59,59.72,61.63,81.70
60,60.05,61.80,82.28
61,61.58,62.77,82.88
62,60.89,62.22,83.56
63,66.57,68.68,83.26
64,73.37,65.19,80.86
65,64.98,67.81,81.44
66,72.48,63.70,78.31
67,58.39,62.68,76.89
68,61.51,61.48,73.89
69,62.33,62.00,73.55
70,69.64,62.21,74.65
71,69.78,61.99,74.73
72,70.18,62.23,74.92
73,71.56,63.47,75.67
74,72.74,63.84,75.57
75,72.69,63.33,75.01
76,73.37,63.38,75.72
77,72.95,63.01,74.33
78,72.68,62.27,73.16
79,70.76,61.49,72.78
80,68.75,60.14,72.17
81,57.66,59.33,71.90
82,60.07,59.65,70.88
83,68.66,59.78,72.07
84,69.89,60.51,72.58
85,69.48,59.51,72.29
86,71.17,61.15,73.24
87,70.56,61.09,73.29
88,71.06,61.05,73.16
89,69.37,60.55,73.16
90,70.13,60.31,73.18
91,70.35,58.95,73.18
92,69.70,59.38,72.28
93,74.34,66.27,75.77
94,76.52,71.14,75.97
95,65.54,59.82,76.41
96,73.90,71.54,79.23
97,71.72,67.01,81.88
98,74.33,71.81,87.02
99,72.94,70.39,92.12
100,76.60,76.45,99.37
101,78.62,81.17,95.44
AVERAGE,67.03,63.91,78.98
