sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,73.64,67.85,88.75
2,75.07,66.40,87.48
3,77.44,66.43,88.89
4,76.29,66.39,87.17
5,74.38,65.91,86.14
6,67.33,64.78,84.15
7,66.65,65.66,84.30
8,67.84,63.44,83.45
9,66.20,63.01,82.88
10,67.78,65.50,83.16
11,68.50,67.55,83.61
12,68.63,68.06,83.49
13,68.70,68.44,83.61
14,69.43,67.17,82.20
15,69.42,66.15,82.15
16,67.46,63.46,81.08
17,67.73,64.18,81.20
18,66.49,62.39,80.69
19,66.03,62.21,80.75
20,66.85,66.34,82.72
21,67.91,63.73,81.29
22,72.46,65.63,82.88
23,67.21,62.70,81.02
24,74.36,65.30,82.51
25,74.43,65.60,82.82
26,73.11,65.72,82.89
27,66.68,63.87,81.56
28,66.17,63.26,81.34
29,67.64,63.65,80.70
30,67.76,63.92,80.95
31,68.96,65.89,81.66
32,69.63,66.28,82.20
33,71.27,67.60,81.85
34,69.45,69.69,84.55
35,71.75,71.23,89.64
36,72.90,77.74,84.68
37,71.13,76.32,81.93
38,63.34,61.51,81.77
39,63.06,63.77,80.14
40,62.07,61.64,79.11
41,64.81,61.60,77.07
42,64.94,58.98,77.26
43,64.39,59.17,76.35
44,63.67,60.70,76.47
45,62.13,60.80,74.46
46,62.95,61.40,73.51
47,62.09,60.70,72.36
48,60.91,58.49,71.03
49,60.43,59.57,71.99
50,58.75,58.30,72.18
51,58.07,58.38,73.00
52,58.09,59.58,74.91
53,58.28,58.83,75.45
54,59.07,60.24,77.44
55,59.55,60.07,77.78
56,61.03,62.84,78.87
57,58.56,59.78,75.58
58,57.79,55.69,72.68
59,59.32,60.36,81.23
60,59.07,59.60,81.77
61,61.99,62.63,84.48
62,62.18,61.96,83.49
63,65.05,63.01,73.89
64,72.42,64.35,79.89
65,70.03,72.49,89.30
66,71.44,63.41,78.56
67,59.59,62.66,77.09
68,61.46,61.24,73.30
69,62.07,61.52,72.63
70,62.36,61.72,73.27
71,63.42,61.28,73.46
72,64.72,61.52,73.97
73,75.55,68.60,83.48
74,74.33,66.51,79.68
75,73.44,65.09,77.61
76,69.50,61.47,72.65
77,74.04,64.10,75.63
78,70.22,60.41,69.73
79,67.14,58.98,68.27
80,72.84,63.08,76.38
81,55.99,56.84,67.77
82,61.26,61.48,73.91
83,57.73,58.44,69.46
84,60.71,58.87,69.88
85,67.60,61.37,75.44
86,69.94,61.95,74.48
87,68.70,61.18,73.41
88,69.36,60.92,72.96
89,66.81,59.73,71.85
90,67.75,59.93,72.72
91,68.50,59.06,73.97
92,68.36,59.37,72.41
93,76.85,68.50,78.60
94,81.40,77.75,88.79
95,63.43,62.53,84.99
96,74.10,73.63,85.31
97,69.54,66.13,82.53
98,68.65,66.68,79.05
99,74.07,72.04,93.09
100,75.61,76.66,100.55
101,77.63,81.44,96.47
AVERAGE,67.18,63.98,79.50
