sep=,
Frame,Toan_than,Tay_Chan_8key,Uy_tin_Vai_Hong
1,81.04,51.47,47.12
2,80.23,53.05,49.93
3,76.56,50.48,50.14
4,73.74,48.67,50.28
5,72.26,48.06,50.61
6,72.24,48.90,51.37
7,71.02,48.41,50.98
8,70.90,48.74,51.02
9,70.11,48.75,50.77
10,70.46,50.17,51.30
11,69.69,50.29,51.35
12,69.16,50.58,51.27
13,68.49,50.72,51.40
14,68.58,51.55,51.79
15,68.11,51.50,51.91
16,66.26,49.65,51.33
17,67.31,50.68,52.14
18,66.30,49.58,52.08
19,66.26,49.52,52.32
20,66.59,49.75,52.78
21,67.82,51.59,53.57
22,68.23,51.14,51.30
23,67.12,50.84,53.84
24,68.43,52.00,51.25
25,68.73,53.58,52.68
26,69.52,54.56,53.60
27,67.84,52.01,55.13
28,69.88,53.79,55.91
29,70.61,54.29,55.16
30,71.00,54.30,54.53
31,71.78,54.44,54.67
32,72.45,54.16,55.47
33,73.52,55.20,56.90
34,70.76,53.92,55.82
35,67.82,52.82,57.18
36,65.92,50.42,59.94
37,67.25,51.36,63.66
38,69.05,55.35,66.87
39,69.63,56.70,67.65
40,68.45,55.76,69.38
41,73.34,62.11,73.34
42,72.45,62.05,71.81
43,70.63,60.96,69.63
44,64.92,55.91,64.95
45,62.57,53.79,61.46
46,61.80,53.51,59.90
47,59.72,51.84,58.10
48,59.21,51.47,58.15
49,58.14,50.30,59.45
50,56.68,48.97,58.73
51,54.50,47.34,58.16
52,54.53,47.60,56.54
53,54.20,45.44,53.14
54,51.19,43.11,54.34
55,52.20,42.15,50.02
56,51.10,41.03,48.73
57,52.03,40.69,47.05
58,49.23,38.38,48.50
59,49.13,38.03,47.43
60,49.48,38.49,48.10
61,53.25,41.84,49.40
62,57.19,45.09,50.61
63,62.04,47.81,51.51
64,59.25,45.04,54.61
65,63.21,47.32,53.10
66,60.84,46.26,56.95
67,58.78,45.74,56.18
68,59.75,47.34,58.23
69,60.30,49.54,60.14
70,61.81,52.09,61.92
71,60.12,50.68,60.43
72,59.29,49.92,59.50
73,59.50,49.89,58.26
74,58.12,48.25,55.95
75,57.27,47.23,55.28
76,57.29,46.68,54.34
77,58.13,47.09,54.88
78,58.50,46.96,55.27
79,57.90,46.61,55.93
80,57.71,45.98,56.94
81,56.73,46.93,58.58
82,58.19,47.68,59.29
83,57.76,48.06,59.48
84,58.57,49.16,61.03
85,58.94,50.34,61.90
86,57.88,47.91,57.45
87,56.76,46.42,55.64
88,57.10,46.17,54.50
89,56.06,45.28,53.66
90,55.11,44.05,49.99
91,56.14,45.88,52.19
92,55.33,46.00,58.23
93,64.97,50.81,56.29
94,68.08,54.92,54.42
95,54.23,43.53,57.04
96,69.91,57.66,58.33
97,66.35,52.02,61.58
98,72.36,58.65,60.99
99,59.17,44.59,58.52
100,59.89,45.42,59.34
101,61.27,46.40,60.17
AVERAGE,63.36,49.58,55.86
